,4.0,5.0,6.0,7.0,8.0,9.0
onehotencoder__Blood Pressure_135/90,-0.0042346854215848115,-0.21331442423948965,-0.15136039203216048,0.9102897840527971,-0.3038342510736884,-0.23754603128587426
onehotencoder__Blood Pressure_139/91,-0.011520811488565676,-0.004617876059645157,6.431857036945176e-06,-0.12383471311524545,-0.012504685159945957,0.15247165396636528
onehotencoder__Blood Pressure_140/90,0.19876138592515835,-0.502758200664257,0.3615458281807061,-0.05501904875817709,-0.002899316029134618,0.0003693513457047459
onehotencoder__Blood Pressure_140/95,-0.06883853713460562,-0.0045374269056604934,0.44115774427915605,-0.4251513726258997,-0.19784363603302887,0.25521322842003724
onehotencoder__Blood Pressure_142/92,-0.03182389363395242,-0.08451632237281118,-0.029844788482541854,0.20701605065025178,-0.008142565322425873,-0.052688480838520436
onehotencoder__Sleep Disorder_Insomnia,-0.6570782173329033,0.5039885874057622,0.1074033507806203,0.5126415679299933,-0.18512907309631466,-0.28182621568715743
onehotencoder__Sleep Disorder_Sleep Apnea,0.7970268635414166,-0.14557874571586996,-0.25791015449000854,-0.5643339169780531,-0.11897736608982684,0.28977331973233944
onehotencoder__Sleep Disorder_nan,-0.3484386410294472,-0.6824252563046266,0.34778873396370097,0.05124776294279184,0.5595376393055206,0.07228976112206
remainder__Age Norm,-0.44901141009353757,-0.7611443717691737,0.05274594737570896,0.27771487169147546,-0.29220100156012446,1.1718959643556537
remainder__Sleep Norm,-0.6414986310140014,0.16440222055865766,-1.8260819924422458,0.6516842868767235,-0.09860013265501397,1.7500942486758833
remainder__Physical Norm,-0.5558137555200929,-0.6339617742970824,-0.03522026770312523,0.2276399035945622,0.6644484012750035,0.33290749265073705
remainder__Stress Norm,0.5417250233452454,0.43683295921462073,1.150464518548367,0.43174498822580587,-1.1688795293727088,-1.3918879599613336
remainder__Heart Norm,0.9530550578024861,0.12009367016626472,-0.14637818818070797,-0.36203565318954783,-0.21165555215359896,-0.3530793344448986
remainder__Steps Norm,-0.1517874216587137,-0.6099277940076645,0.6559516282761594,-0.20192813716317282,0.5528597655492008,-0.24516804099581022
